City,Country,Lat,Lng,Date,Max Temp,Cloudiness,Wind Speed,Humidity
mataura,NZ,-46.19,168.86,1587869511,59.0,90,8.99,56
paamiut,GL,61.99,-49.67,1587869512,31.01,2,11.21,92
chokurdakh,RU,70.63,147.92,1587869512,28.98,40,13.62,96
vila velha,BR,-20.33,-40.29,1587869512,73.0,20,3.36,100
cape town,ZA,-33.93,18.42,1587869500,57.0,0,5.82,93
hithadhoo,MV,-0.6,73.08,1587869512,84.63,93,6.85,70
jalu,LY,29.03,21.55,1587869512,65.46,63,6.8,41
new norfolk,AU,-42.78,147.06,1587869512,57.99,17,5.99,45
sola,VU,-13.88,167.55,1587869512,81.01,100,21.03,84
tuatapere,NZ,-46.13,167.68,1587869513,59.0,100,8.99,56
carutapera,BR,-1.2,-46.02,1587869513,78.03,93,4.54,83
vardo,NO,70.37,31.11,1587869513,34.34,100,26.51,87
katsuura,JP,35.13,140.3,1587869513,71.01,75,26.4,49
punta arenas,CL,-53.15,-70.92,1587869450,35.6,0,6.93,80
puerto madryn,AR,-42.77,-65.04,1587869477,51.93,57,11.63,84
bluff,NZ,-46.6,168.33,1587869513,59.0,100,8.99,56
albany,US,42.6,-73.97,1587869513,55.4,75,2.08,37
comodoro rivadavia,AR,-45.87,-67.5,1587869348,50.0,40,6.93,76
savannakhet,LA,16.57,104.75,1587869514,75.2,40,4.7,69
kapaa,US,22.08,-159.32,1587869305,80.6,40,10.29,65
ushuaia,AR,-54.8,-68.3,1587869440,35.6,24,3.36,59
busselton,AU,-33.65,115.33,1587869267,70.0,9,2.33,51
jamestown,US,42.1,-79.24,1587869444,54.0,90,6.93,76
vaini,TO,-21.2,-175.2,1587869514,75.2,90,6.93,94
port alfred,ZA,-33.59,26.89,1587869514,60.01,90,18.86,92
longyearbyen,SJ,78.22,15.64,1587869513,15.8,0,6.93,66
butaritari,KI,3.07,172.79,1587869515,83.32,96,17.83,77
stratford,US,41.18,-73.13,1587869400,48.99,1,3.36,61
khatanga,RU,71.97,102.5,1587869515,22.3,100,14.58,94
antalaha,MG,-14.9,50.28,1587869515,76.68,11,6.58,83
bredasdorp,ZA,-34.53,20.04,1587869515,60.8,0,6.93,82
shenjiamen,CN,29.96,122.3,1587869515,61.79,100,5.88,73
santa fe,AR,-31.63,-60.7,1587869362,66.99,87,1.01,97
arraial do cabo,BR,-22.97,-42.03,1587869516,75.16,0,16.51,81
hermanus,ZA,-34.42,19.23,1587869516,64.0,0,7.99,68
narsaq,GL,60.92,-46.05,1587868935,32.0,82,1.12,96
rocha,UY,-34.48,-54.33,1587868918,62.15,100,8.57,88
lamu,KE,-2.27,40.9,1587869516,80.06,100,9.91,83
qaanaaq,GL,77.48,-69.36,1587869516,27.88,100,3.47,88
tasiilaq,GL,65.61,-37.64,1587869517,30.2,59,21.92,74
tiksi,RU,71.69,128.87,1587869517,35.38,100,18.03,94
yatou,CN,37.15,122.38,1587869517,54.37,33,4.85,43
tsogni,GA,-2.79,10.1,1587869517,75.67,100,5.7,91
miraflores,MX,19.22,-98.81,1587869517,66.2,90,10.29,48
muros,ES,42.78,-9.06,1587868944,54.0,35,6.73,87
isangel,VU,-19.55,169.27,1587869517,76.77,92,16.67,72
yellowknife,CA,62.46,-114.35,1587869452,14.0,75,16.11,47
greenville,US,35.61,-77.37,1587869349,57.99,90,10.29,87
rikitea,PF,-23.12,-134.97,1587869455,76.1,0,16.35,76
barrow,US,71.29,-156.79,1587869518,12.2,90,12.75,85
hilo,US,19.73,-155.09,1587869467,82.4,75,11.41,51
hailey,US,43.52,-114.32,1587869335,59.0,5,3.36,30
puerto ayora,EC,-0.74,-90.35,1587869518,79.0,31,5.01,86
alexandria,EG,31.22,29.96,1587869256,62.6,40,10.29,72
nikolskoye,RU,59.7,30.79,1587869519,32.0,99,4.47,94
gweta,BW,-20.18,25.23,1587869519,69.06,28,4.7,32
pindwara,IN,24.8,73.07,1587869519,85.28,1,7.9,37
cherskiy,RU,68.75,161.3,1587868922,23.25,16,3.62,92
weihe,CN,33.0,105.32,1587869519,73.78,5,1.66,13
hobart,AU,-42.88,147.33,1587869519,59.0,20,23.04,30
kaitangata,NZ,-46.28,169.85,1587869519,57.0,82,1.99,68
tuktoyaktuk,CA,69.45,-133.04,1587869467,-0.4,20,10.29,70
half moon bay,US,37.46,-122.43,1587869520,70.0,1,11.41,87
nancha,CN,47.13,129.27,1587869520,48.99,96,5.19,46
santa barbara,US,34.42,-119.7,1587869258,77.0,1,3.36,64
ponta do sol,PT,32.67,-17.1,1587869470,62.6,20,5.82,67
bundaberg,AU,-24.85,152.35,1587869520,84.99,0,10.29,36
mazagao,BR,-0.12,-51.29,1587869520,82.4,40,4.7,94
luderitz,NA,-26.65,15.16,1587869520,53.6,0,1.12,93
esperance,AU,-33.87,121.9,1587869521,64.4,75,2.24,63
nanortalik,GL,60.14,-45.24,1587869521,32.79,32,13.73,91
olafsvik,IS,64.89,-23.71,1587868930,38.71,13,11.59,80
chifeng,CN,42.27,118.96,1587869521,52.66,36,12.5,30
susanville,US,40.42,-120.65,1587869466,64.0,100,11.99,43
lang son,VN,21.83,106.73,1587869521,69.62,93,6.42,52
touros,BR,-5.2,-35.46,1587869522,77.0,75,2.24,94
pisco,PE,-13.7,-76.22,1587869235,68.0,0,13.87,82
margate,GB,51.38,1.39,1587869446,45.0,0,4.0,84
lasa,IT,46.62,10.7,1587869523,51.01,90,3.36,86
nakamura,JP,32.98,132.93,1587869523,69.46,61,8.72,46
north platte,US,41.12,-100.77,1587869467,54.0,1,2.37,39
lavrentiya,RU,65.58,-171.0,1587869523,27.99,0,0.78,91
aswan,EG,24.09,32.91,1587869524,67.84,0,8.16,36
halmaj,HU,48.25,21.0,1587869524,42.8,41,1.12,60
oyama,JP,36.3,139.8,1587869524,75.0,75,16.11,35
sao jose da coroa grande,BR,-8.9,-35.15,1587869524,78.93,3,7.47,82
okhotsk,RU,59.38,143.3,1587869524,38.75,0,4.45,72
atikokan,CA,48.76,-91.62,1587869524,32.13,68,5.64,82
castro,BR,-24.79,-50.01,1587869525,59.09,0,1.92,68
bubaque,GW,11.28,-15.83,1587869525,77.85,23,13.02,68
port elizabeth,ZA,-33.92,25.57,1587869463,60.8,20,6.93,93
port lincoln,AU,-34.73,135.87,1587868933,62.33,22,11.32,62
wau,SS,7.7,28.0,1587869525,80.42,1,3.91,35
orel-izumrud,RU,43.46,39.92,1587869525,48.2,90,8.95,87
kavieng,PG,-2.57,150.8,1587868954,85.26,89,11.59,72
puerto cabezas,NI,14.04,-83.39,1587869526,78.44,18,6.93,88
victoria,HK,22.29,114.16,1587869526,78.01,20,5.82,64
tarko-sale,RU,64.92,77.78,1587869526,37.0,100,1.99,70
sorland,NO,67.67,12.69,1587869526,38.08,94,15.55,74
souillac,MU,-20.52,57.52,1587869526,71.6,20,4.7,100
torbay,CA,47.67,-52.73,1587869526,37.0,5,11.41,87
kharp,RU,66.8,65.81,1587869526,19.94,66,2.95,94
garissa,KE,-0.45,39.64,1587869527,75.92,97,7.25,82
zhigansk,RU,66.77,123.37,1587868931,36.52,100,26.02,85
kholm,RU,59.27,32.85,1587869527,31.62,98,7.14,92
taltal,CL,-25.4,-70.48,1587868943,63.84,0,3.18,65
weihai,CN,37.5,122.11,1587869527,54.7,8,8.08,44
sackville,CA,45.92,-64.38,1587869527,41.0,20,6.93,25
vila franca do campo,PT,37.72,-25.43,1587869527,57.2,40,10.29,62
bambous virieux,MU,-20.34,57.76,1587869528,75.0,20,4.7,100
kuopio,FI,62.89,27.68,1587869528,32.0,0,9.17,96
kangaatsiaq,GL,68.31,-53.46,1587868956,34.02,100,21.34,90
paredon,MX,16.03,-93.87,1587869528,83.97,66,0.27,67
pedernales,DO,18.04,-71.74,1587869528,78.58,2,6.67,69
lakes entrance,AU,-37.88,147.98,1587869528,59.0,26,5.01,91
la palma,US,33.85,-118.05,1587869528,81.0,20,5.82,41
upata,VE,8.01,-62.4,1587869529,78.01,44,5.01,80
lata,PT,40.16,-8.33,1587869529,55.0,24,0.31,91
nelson bay,AU,-32.72,152.15,1587869529,82.4,57,26.4,28
meadow lake,US,34.8,-106.54,1587869529,71.6,40,11.41,7
san patricio,MX,19.22,-104.7,1587869529,73.06,31,3.44,67
sitka,US,57.05,-135.33,1587868703,50.0,90,11.41,61
lobatse,BW,-25.22,25.67,1587869531,53.6,82,4.7,76
ketchikan,US,55.34,-131.65,1587868933,46.4,90,23.04,93
kupang,ID,-10.17,123.58,1587869531,91.4,20,13.87,49
jiayuguan,CN,39.82,98.3,1587869531,65.41,0,4.43,8
chervonohryhorivka,UA,47.62,34.54,1587869531,48.0,85,4.47,70
grand gaube,MU,-20.01,57.66,1587869531,75.0,0,1.01,92
dingle,PH,11.0,122.67,1587869532,87.91,31,14.23,62
